timestamp ,90%-threshold,95%-threshold,98%-threshold,z-score
30/01/15 00,0,0,0,0.05
30/01/15 01,0,0,0,-0.47
30/01/15 02,0,0,0,-0.57
30/01/15 03,0,0,0,-0.59
30/01/15 04,0,0,0,-0.61
30/01/15 05,0,0,0,-0.53
30/01/15 06,0,0,0,-0.58
30/01/15 07,0,0,0,0.71
30/01/15 08,0,0,0,4.44
30/01/15 09,0,0,0,3.4
30/01/15 10,0,0,0,4
30/01/15 11,0,0,0,2.73
30/01/15 12,0,0,0,1.45
30/01/15 13,0,0,0,-0.59
30/01/15 14,0,0,0,-0.69
30/01/15 15,0,0,0,-0.61
30/01/15 16,0,0,0,0.03
30/01/15 17,0,0,0,2.79
30/01/15 18,0,0,0,1.67
30/01/15 19,0,0,0,1.27
30/01/15 20,0,0,0,1.06
30/01/15 21,0,0,0,0.86
30/01/15 22,0,0,0,-0.43
30/01/15 23,0,0,0,-0.2
31/01/15 00,0,0,0,-0.16
31/01/15 01,0,0,0,-0.5
31/01/15 02,0,0,0,-0.61
31/01/15 03,0,0,0,-0.57
31/01/15 04,0,0,0,-0.49
31/01/15 05,0,0,0,-0.44
31/01/15 06,0,0,0,-0.59
31/01/15 07,0,0,0,0.1
31/01/15 08,0,0,0,1.25
31/01/15 09,0,0,0,1
31/01/15 10,0,0,0,0.82
31/01/15 11,0,0,0,1.3
31/01/15 12,0,0,0,-0.39
31/01/15 13,0,0,0,-0.42
31/01/15 14,0,0,0,0.5
31/01/15 15,0,0,0,3.44
31/01/15 16,0,0,0,1.31
31/01/15 17,0,0,0,1.7
31/01/15 18,0,0,0,3.07
31/01/15 19,0,0,0,1.9
31/01/15 20,0,0,0,0.85
31/01/15 21,0,0,0,0.24
31/01/15 22,0,0,0,0.28
31/01/15 23,0,0,0,0.02
01/02/15 00,0,0,0,-0.58
01/02/15 01,0,0,0,-0.55
01/02/15 02,0,0,0,-0.62
01/02/15 03,0,0,0,-0.61
01/02/15 04,0,0,0,-0.68
01/02/15 05,0,0,0,-0.66
01/02/15 06,0,0,0,-0.64
01/02/15 07,1,1,0,-0.69
01/02/15 08,1,0,0,0.43
01/02/15 09,1,1,0,1.11
01/02/15 10,1,1,0,1
01/02/15 11,1,1,0,0.52
01/02/15 12,1,1,0,0.39
01/02/15 13,0,0,0,1.15
01/02/15 14,0,0,0,0.99
01/02/15 15,0,0,0,1.07
01/02/15 16,0,0,0,0.05
01/02/15 17,0,0,0,2.08
01/02/15 18,0,0,0,5.15
01/02/15 19,0,0,0,3.99
01/02/15 20,0,0,0,1.45
01/02/15 21,0,0,0,0.86
01/02/15 22,0,0,0,-0.09
01/02/15 23,1,1,0,-0.21
02/02/15 00,1,1,0,-0.64
02/02/15 01,0,0,0,-0.61
02/02/15 02,0,0,0,-0.66
02/02/15 03,0,0,0,-0.59
02/02/15 04,1,1,0,-0.69
02/02/15 05,0,0,0,-0.05
02/02/15 06,0,0,0,1.08
02/02/15 07,0,0,0,2.08
02/02/15 08,0,0,0,1.27
02/02/15 09,0,0,0,0.33
02/02/15 10,0,0,0,0.22
02/02/15 11,0,0,0,5.01
02/02/15 12,0,0,0,4.49
02/02/15 13,0,0,0,2.73
02/02/15 14,0,0,0,2.24
02/02/15 15,0,0,0,1.46
02/02/15 16,0,0,0,0.36
02/02/15 17,0,0,0,1.7
02/02/15 18,0,0,0,1.63
02/02/15 19,0,0,0,2.32
02/02/15 20,0,0,0,2.92
02/02/15 21,0,0,0,0.58
02/02/15 22,0,0,0,0.5
02/02/15 23,0,0,0,0.14
03/02/15 00,1,1,0,0.54
03/02/15 01,1,1,0,0.32
03/02/15 02,0,0,0,0.4
03/02/15 03,0,0,0,0.4
03/02/15 04,0,0,0,0.39
03/02/15 05,0,0,0,0.43
03/02/15 06,1,1,0,0.46
03/02/15 07,1,1,0,1.19
03/02/15 08,1,1,0,1.1
03/02/15 09,0,0,0,1
03/02/15 10,0,0,0,1.11
03/02/15 11,0,0,0,1.71
03/02/15 12,0,0,0,2.83
03/02/15 13,0,0,0,1.23
03/02/15 14,0,0,0,0.46
03/02/15 15,0,0,0,0.46
03/02/15 16,0,0,0,0.78
03/02/15 17,0,0,0,1.7
03/02/15 18,0,0,0,1.26
03/02/15 19,0,0,0,2.08
03/02/15 20,0,0,0,1.48
03/02/15 21,0,0,0,0.18
03/02/15 22,0,0,0,0.16
03/02/15 23,0,0,0,-0.54
04/02/15 00,0,0,0,-0.72
04/02/15 01,0,0,0,-0.23
04/02/15 02,1,1,0,-0.8
04/02/15 03,1,1,0,-0.23
04/02/15 04,0,0,0,-0.68
04/02/15 05,0,0,0,0.56
04/02/15 06,0,0,0,1.15
04/02/15 07,0,0,0,-0.51
04/02/15 08,0,0,0,0.44
04/02/15 09,0,0,0,2.17
04/02/15 10,0,0,0,5.28
04/02/15 11,0,0,0,1.55
04/02/15 12,0,0,0,0.63
04/02/15 13,0,0,0,-0.57
04/02/15 14,0,0,0,-0.42
04/02/15 15,0,0,0,0.81
04/02/15 16,0,0,0,1.33
04/02/15 17,0,0,0,2.87
04/02/15 18,0,0,0,3.43
04/02/15 19,0,0,0,1.87
04/02/15 20,0,0,0,0.8
04/02/15 21,0,0,0,0.96
